id,name,bundesland,ags,ars,kommunaltyp,verwaltungstyp,parent_id,nuts_code,lau_code
5955,Berlin,Berlin,11000000,110000000000,KREISFREIE_STADT,Stadtverwaltung,,,
1118,Hamburg,Hamburg,02000000,020000000000,KREISFREIE_STADT,Stadtverwaltung,,,
3770,München,Bayern,09162000,091620000000,KREISFREIE_STADT,Stadtverwaltung,,,
1638,Köln,Nordrhein-Westfalen,05315000,053150000000,KREISFREIE_STADT,Stadtverwaltung,,,
1995,Frankfurt am Main,Hessen,06412000,064120000000,KREISFREIE_STADT,Stadtverwaltung,,,
2632,Stuttgart,Baden-Württemberg,08111000,081110000000,KREISFREIE_STADT,Stadtverwaltung,,,
1904,Dortmund,Nordrhein-Westfalen,05913000,059130000000,KREISFREIE_STADT,Stadtverwaltung,,,
1568,Essen,Nordrhein-Westfalen,05113000,051130000000,KREISFREIE_STADT,Stadtverwaltung,,,
1566,Düsseldorf,Nordrhein-Westfalen,05111000,051110000000,KREISFREIE_STADT,Stadtverwaltung,,,
1563,Bremen,Bremen,04011000,040110000000,KREISFREIE_STADT,Stadtverwaltung,,,
1200,Hannover,Niedersachsen,03241001,032410001001,GEMEINDE,Gemeindeverwaltung,,,
7483,Leipzig,Sachsen,14713000,147130000000,KREISFREIE_STADT,Stadtverwaltung,,,
7304,Dresden,Sachsen,14612000,146120000000,KREISFREIE_STADT,Stadtverwaltung,,,
5015,Nürnberg,Bayern,09564000,095640000000,KREISFREIE_STADT,Stadtverwaltung,,,
1567,Duisburg,Nordrhein-Westfalen,05112000,051120000000,KREISFREIE_STADT,Stadtverwaltung,,,
1903,Bochum,Nordrhein-Westfalen,05911000,059110000000,KREISFREIE_STADT,Stadtverwaltung,,,
1575,Wuppertal,Nordrhein-Westfalen,05124000,051240000000,KREISFREIE_STADT,Stadtverwaltung,,,
1827,Bielefeld,Nordrhein-Westfalen,05711000,057110000000,KREISFREIE_STADT,Stadtverwaltung,,,
1637,Bonn,Nordrhein-Westfalen,05314000,053140000000,KREISFREIE_STADT,Stadtverwaltung,,,
3046,Mannheim,Baden-Württemberg,08222000,082220000000,KREISFREIE_STADT,Stadtverwaltung,,,
2987,Karlsruhe,Baden-Württemberg,08212000,082120000000,KREISFREIE_STADT,Stadtverwaltung,,,
1997,Wiesbaden,Hessen,06414000,064140000000,KREISFREIE_STADT,Stadtverwaltung,,,
1746,Münster,Nordrhein-Westfalen,05515000,055150000000,KREISFREIE_STADT,Stadtverwaltung,,,
1745,Gelsenkirchen,Nordrhein-Westfalen,05513000,055130000000,KREISFREIE_STADT,Stadtverwaltung,,,
5546,Augsburg,Bayern,09761000,097610000000,KREISFREIE_STADT,Stadtverwaltung,,,
1570,Mönchengladbach,Nordrhein-Westfalen,05116000,051160000000,KREISFREIE_STADT,Stadtverwaltung,,,
1641,Aachen,Nordrhein-Westfalen,05334002,053340002002,GEMEINDE,Gemeindeverwaltung,,,
7118,Chemnitz,Sachsen,14511000,145110000000,KREISFREIE_STADT,Stadtverwaltung,,,
1120,Braunschweig,Niedersachsen,03101000,031010000000,KREISFREIE_STADT,Stadtverwaltung,,,
1569,Krefeld,Nordrhein-Westfalen,05114000,051140000000,KREISFREIE_STADT,Stadtverwaltung,,,
7548,Halle (Saale),Sachsen-Anhalt,15002000,150020000000,KREISFREIE_STADT,Stadtverwaltung,,,
4,Kiel,Schleswig-Holstein,01002000,010020000000,KREISFREIE_STADT,Stadtverwaltung,,,
7549,Magdeburg,Sachsen-Anhalt,15003000,150030000000,KREISFREIE_STADT,Stadtverwaltung,,,
1572,Oberhausen,Nordrhein-Westfalen,05119000,051190000000,KREISFREIE_STADT,Stadtverwaltung,,,
3203,Freiburg im Breisgau,Baden-Württemberg,08311000,083110000000,KREISFREIE_STADT,Stadtverwaltung,,,
5,Lübeck,Schleswig-Holstein,01003000,010030000000,KREISFREIE_STADT,Stadtverwaltung,,,
7681,Erfurt,Thüringen,16051000,160510000000,KREISFREIE_STADT,Stadtverwaltung,,,
6385,Rostock,Mecklenburg-Vorpommern,13003000,130030000000,KREISFREIE_STADT,Stadtverwaltung,,,
2545,Mainz,Rheinland-Pfalz,07315000,073150000000,KREISFREIE_STADT,Stadtverwaltung,,,
1905,Hagen,Nordrhein-Westfalen,05914000,059140000000,KREISFREIE_STADT,Stadtverwaltung,,,
2294,Kassel,Hessen,06611000,066110000000,KREISFREIE_STADT,Stadtverwaltung,,,
1906,Hamm,Nordrhein-Westfalen,05915000,059150000000,KREISFREIE_STADT,Stadtverwaltung,,,
5898,Saarbrücken,Saarland,10041100,100410100100,GEMEINDE,Gemeindeverwaltung,,,
